image_filename,main label,concurrent label
201911/30/20191130_075132_000,having a drink,
201911/30/20191130_075149_000,walking indoor,
201911/30/20191130_075206_000,having a drink,
201911/30/20191130_075223_000,walking indoor,
201911/30/20191130_075240_000,having a drink,
201911/30/20191130_075257_000,having a drink,
201911/30/20191130_075314_000,walking indoor,
201911/30/20191130_075331_000,walking indoor,
201911/30/20191130_075348_000,having a drink,
201911/30/20191130_075405_000,having a drink,
201911/30/20191130_075422_000,walking indoor,
201911/30/20191130_075439_000,walking indoor,
201911/30/20191130_075456_000,walking indoor,
201911/30/20191130_075513_000,walking indoor,
201911/30/20191130_075530_000,walking indoor,
201911/30/20191130_075547_000,walking indoor,
201911/30/20191130_075604_000,walking indoor,
201911/30/20191130_075634_000,walking indoor,
201911/30/20191130_075651_000,walking indoor,
201911/30/20191130_075708_000,having a drink,
201911/30/20191130_075725_000,walking indoor,
201911/30/20191130_075742_000,walking indoor,
201911/30/20191130_075759_000,walking indoor,
201911/30/20191130_075816_000,walking indoor,
201911/30/20191130_075833_000,walking indoor,
201911/30/20191130_075850_000,walking indoor,
201911/30/20191130_075907_000,NO ACTIVITY,
201911/30/20191130_075924_000,having a drink,
201911/30/20191130_075941_000,walking indoor,
201911/30/20191130_075958_000,walking indoor,
201911/30/20191130_080015_000,walking indoor,
201911/30/20191130_080032_000,walking indoor,
201911/30/20191130_080049_000,having a drink,
201911/30/20191130_080106_000,walking indoor,
201911/30/20191130_080123_000,walking indoor,
201911/30/20191130_080140_000,NO ACTIVITY,
201911/30/20191130_080157_000,walking indoor,
201911/30/20191130_080214_000,walking indoor,
201911/30/20191130_080231_000,NO ACTIVITY,
201911/30/20191130_080248_000,walking indoor,
201911/30/20191130_080305_000,NO ACTIVITY,
201911/30/20191130_080322_000,walking indoor,
201911/30/20191130_080339_000,having a drink,
201911/30/20191130_080356_000,NO ACTIVITY,
201911/30/20191130_080413_000,walking indoor,
201911/30/20191130_080430_000,walking indoor,
201911/30/20191130_080447_000,walking indoor,
201911/30/20191130_080504_000,walking indoor,
201911/30/20191130_080521_000,NO ACTIVITY,
201911/30/20191130_080538_000,NO ACTIVITY,
201911/30/20191130_080555_000,NO ACTIVITY,
201911/30/20191130_080612_000,walking indoor,
201911/30/20191130_080629_000,walking indoor,
201911/30/20191130_080646_000,walking indoor,
201911/30/20191130_080703_000,NO ACTIVITY,
201911/30/20191130_080720_000,NO ACTIVITY,
201911/30/20191130_080737_000,walking indoor,
201911/30/20191130_080754_000,NO ACTIVITY,
201911/30/20191130_080811_000,walking indoor,
201911/30/20191130_080828_000,walking indoor,
201911/30/20191130_080845_000,walking indoor,
201911/30/20191130_080902_000,having a drink,
201911/30/20191130_080919_000,NO ACTIVITY,
201911/30/20191130_080936_000,NO ACTIVITY,
201911/30/20191130_080953_000,NO ACTIVITY,
201911/30/20191130_081010_000,NO ACTIVITY,
201911/30/20191130_081028_000,walking indoor,
201911/30/20191130_081045_000,NO ACTIVITY,
201911/30/20191130_081102_000,walking indoor,
201911/30/20191130_081119_000,NO ACTIVITY,
201911/30/20191130_081136_000,NO ACTIVITY,
201911/30/20191130_081153_000,walking indoor,
201911/30/20191130_081210_000,NO ACTIVITY,
201911/30/20191130_081227_000,NO ACTIVITY,
201911/30/20191130_081244_000,walking indoor,
201911/30/20191130_081301_000,NO ACTIVITY,
201911/30/20191130_081318_000,walking indoor,
201911/30/20191130_081335_000,NO ACTIVITY,
201911/30/20191130_081352_000,NO ACTIVITY,
201911/30/20191130_081409_000,NO ACTIVITY,
201911/30/20191130_081426_000,NO ACTIVITY,
201911/30/20191130_081443_000,NO ACTIVITY,
201911/30/20191130_081500_000,NO ACTIVITY,
201911/30/20191130_081517_000,NO ACTIVITY,
201911/30/20191130_081534_000,NO ACTIVITY,
201911/30/20191130_081551_000,having a drink,
201911/30/20191130_081608_000,NO ACTIVITY,
201911/30/20191130_081638_000,walking indoor,
201911/30/20191130_081655_000,walking indoor,
201911/30/20191130_081712_000,NO ACTIVITY,
201911/30/20191130_081729_000,NO ACTIVITY,
201911/30/20191130_081746_000,NO ACTIVITY,
201911/30/20191130_081803_000,NO ACTIVITY,
201911/30/20191130_081820_000,NO ACTIVITY,
201911/30/20191130_081837_000,NO ACTIVITY,
201911/30/20191130_081854_000,NO ACTIVITY,
201911/30/20191130_081911_000,NO ACTIVITY,
201911/30/20191130_081928_000,NO ACTIVITY,
201911/30/20191130_081945_000,NO ACTIVITY,
201911/30/20191130_082002_000,NO ACTIVITY,
201911/30/20191130_082019_000,NO ACTIVITY,
201911/30/20191130_082036_000,NO ACTIVITY,
201911/30/20191130_082053_000,NO ACTIVITY,
201911/30/20191130_082110_000,NO ACTIVITY,
201911/30/20191130_082127_000,NO ACTIVITY,
201911/30/20191130_082144_000,NO ACTIVITY,
201911/30/20191130_082201_000,NO ACTIVITY,
201911/30/20191130_082218_000,NO ACTIVITY,
201911/30/20191130_082235_000,walking indoor,
201911/30/20191130_082252_000,NO ACTIVITY,
201911/30/20191130_082309_000,NO ACTIVITY,
201911/30/20191130_082326_000,NO ACTIVITY,
201911/30/20191130_082343_000,NO ACTIVITY,
201911/30/20191130_082400_000,NO ACTIVITY,
201911/30/20191130_082417_000,NO ACTIVITY,
201911/30/20191130_082434_000,walking indoor,
201911/30/20191130_082451_000,having a drink,
201911/30/20191130_082508_000,NO ACTIVITY,
201911/30/20191130_082525_000,NO ACTIVITY,
201911/30/20191130_082542_000,NO ACTIVITY,
201911/30/20191130_082559_000,NO ACTIVITY,
201911/30/20191130_082616_000,NO ACTIVITY,
201911/30/20191130_082633_000,walking indoor,
201911/30/20191130_082650_000,walking indoor,
201911/30/20191130_082707_000,NO ACTIVITY,
201911/30/20191130_082724_000,NO ACTIVITY,
201911/30/20191130_082741_000,walking indoor,
201911/30/20191130_082758_000,walking indoor,
201911/30/20191130_082815_000,walking indoor,
201911/30/20191130_082832_000,walking indoor,
201911/30/20191130_082849_000,walking indoor,
201911/30/20191130_082906_000,walking indoor,
201911/30/20191130_082923_000,walking indoor,
201911/30/20191130_082940_000,walking indoor,
201911/30/20191130_082957_000,walking indoor,
201911/30/20191130_083014_000,walking indoor,
201911/30/20191130_083031_000,NO ACTIVITY,
201911/30/20191130_083048_000,NO ACTIVITY,
201911/30/20191130_083105_000,walking indoor,
201911/30/20191130_083122_000,NO ACTIVITY,
201911/30/20191130_083139_000,NO ACTIVITY,
201911/30/20191130_083156_000,NO ACTIVITY,
201911/30/20191130_083213_000,NO ACTIVITY,
201911/30/20191130_083230_000,NO ACTIVITY,
201911/30/20191130_083247_000,NO ACTIVITY,
201911/30/20191130_083304_000,NO ACTIVITY,
201911/30/20191130_083321_000,NO ACTIVITY,
201911/30/20191130_083338_000,NO ACTIVITY,
201911/30/20191130_083355_000,NO ACTIVITY,
201911/30/20191130_083412_000,NO ACTIVITY,
201911/30/20191130_083429_000,NO ACTIVITY,
201911/30/20191130_083446_000,NO ACTIVITY,
201911/30/20191130_083503_000,NO ACTIVITY,
201911/30/20191130_083520_000,NO ACTIVITY,
201911/30/20191130_083537_000,NO ACTIVITY,
201911/30/20191130_083554_000,NO ACTIVITY,
201911/30/20191130_083611_000,NO ACTIVITY,
201911/30/20191130_083641_000,NO ACTIVITY,
201911/30/20191130_083658_000,NO ACTIVITY,
201911/30/20191130_083715_000,NO ACTIVITY,
201911/30/20191130_083732_000,NO ACTIVITY,
201911/30/20191130_083749_000,NO ACTIVITY,
201911/30/20191130_083806_000,NO ACTIVITY,
201911/30/20191130_083823_000,NO ACTIVITY,
201911/30/20191130_083840_000,NO ACTIVITY,
201911/30/20191130_083857_000,NO ACTIVITY,
201911/30/20191130_083914_000,NO ACTIVITY,
201911/30/20191130_083931_000,NO ACTIVITY,
201911/30/20191130_083948_000,NO ACTIVITY,
201911/30/20191130_084005_000,NO ACTIVITY,
201911/30/20191130_084022_000,walking indoor,
201911/30/20191130_084039_000,walking outdoor,
201911/30/20191130_084056_000,walking indoor,
201911/30/20191130_084113_000,having a drink,
201911/30/20191130_084129_000,walking indoor,
201911/30/20191130_084147_000,having a drink,
201911/30/20191130_084204_000,walking indoor,
201911/30/20191130_084221_000,walking indoor,
201911/30/20191130_084238_000,walking indoor,
201911/30/20191130_084255_000,walking indoor,
201911/30/20191130_084312_000,walking outdoor,
201911/30/20191130_084329_000,walking indoor,
201911/30/20191130_084346_000,walking indoor,
201911/30/20191130_084403_000,walking indoor,
201911/30/20191130_084420_000,doing office work,
201911/30/20191130_084437_000,walking indoor,
201911/30/20191130_084454_000,walking indoor,
201911/30/20191130_084510_000,having a drink,
201911/30/20191130_084528_000,doing office work,
201911/30/20191130_084545_000,walking indoor,
201911/30/20191130_084602_000,walking indoor,
201911/30/20191130_084619_000,walking indoor,
201911/30/20191130_084636_000,walking indoor,
201911/30/20191130_084653_000,walking indoor,
201911/30/20191130_084727_000,walking indoor,
201911/30/20191130_084744_000,walking indoor,
201911/30/20191130_084801_000,walking indoor,
201911/30/20191130_084819_000,walking indoor,
201911/30/20191130_084836_000,doing office work,
201911/30/20191130_084853_000,walking indoor,
201911/30/20191130_084910_000,walking indoor,
201911/30/20191130_084927_000,walking indoor,
201911/30/20191130_084944_000,walking indoor,
201911/30/20191130_085001_000,walking indoor,
201911/30/20191130_085018_000,walking indoor,
201911/30/20191130_085109_000,walking indoor,
201911/30/20191130_085125_000,walking indoor,
201911/30/20191130_085143_000,walking indoor,
201911/30/20191130_085200_000,walking outdoor,
201911/30/20191130_085217_000,walking indoor,
201911/30/20191130_085234_000,walking indoor,
201911/30/20191130_085251_000,walking indoor,
201911/30/20191130_085308_000,walking indoor,
201911/30/20191130_085325_000,walking indoor,
201911/30/20191130_085342_000,walking indoor,
201911/30/20191130_085359_000,walking indoor,
201911/30/20191130_085416_000,walking indoor,
201911/30/20191130_085433_000,walking indoor,
201911/30/20191130_085450_000,walking indoor,
201911/30/20191130_085507_000,walking indoor,
201911/30/20191130_085524_000,taking out the trash,
201911/30/20191130_085541_000,walking indoor,
201911/30/20191130_085558_000,walking indoor,
201911/30/20191130_085615_000,walking indoor,
201911/30/20191130_085645_000,NO ACTIVITY,
201911/30/20191130_085703_000,walking outdoor,
201911/30/20191130_085720_000,walking outdoor,
201911/30/20191130_085737_000,walking outdoor,
201911/30/20191130_085754_000,walking indoor,
201911/30/20191130_085811_000,driving,
201911/30/20191130_085828_000,driving,
201911/30/20191130_085845_000,driving,
201911/30/20191130_085901_000,driving,
201911/30/20191130_085919_000,walking outdoor,
201911/30/20191130_085936_000,driving,
201911/30/20191130_085953_000,driving,
201911/30/20191130_090010_000,driving,
201911/30/20191130_090027_000,driving,
201911/30/20191130_090044_000,driving,
201911/30/20191130_090101_000,driving,
201911/30/20191130_090118_000,driving,
201911/30/20191130_090135_000,driving,
201911/30/20191130_090152_000,driving,
201911/30/20191130_090209_000,driving,
201911/30/20191130_090226_000,driving,
201911/30/20191130_090243_000,driving,
201911/30/20191130_090300_000,driving,
201911/30/20191130_090317_000,driving,
201911/30/20191130_090334_000,driving,
201911/30/20191130_090351_000,driving,
201911/30/20191130_090408_000,driving,
201911/30/20191130_090425_000,driving,
201911/30/20191130_090442_000,driving,
201911/30/20191130_090459_000,driving,
201911/30/20191130_090516_000,driving,
201911/30/20191130_090533_000,driving,
201911/30/20191130_090550_000,driving,
201911/30/20191130_090607_000,driving,
201911/30/20191130_090624_000,driving,
201911/30/20191130_090641_000,driving,
201911/30/20191130_090658_000,driving,
201911/30/20191130_090715_000,driving,
201911/30/20191130_090732_000,driving,
201911/30/20191130_090749_000,driving,
201911/30/20191130_090806_000,driving,
201911/30/20191130_090822_000,driving,
201911/30/20191130_090840_000,driving,
201911/30/20191130_090857_000,driving,
201911/30/20191130_090914_000,driving,
201911/30/20191130_090931_000,driving,
201911/30/20191130_090948_000,driving,
201911/30/20191130_091005_000,driving,
201911/30/20191130_091021_000,driving,
201911/30/20191130_091039_000,driving,
201911/30/20191130_091056_000,driving,
201911/30/20191130_091113_000,driving,
201911/30/20191130_091130_000,driving,
201911/30/20191130_091147_000,driving,
201911/30/20191130_091204_000,driving,
201911/30/20191130_091221_000,driving,
201911/30/20191130_091238_000,driving,
201911/30/20191130_091255_000,driving,
201911/30/20191130_091311_000,driving,
201911/30/20191130_091328_000,driving,
201911/30/20191130_091346_000,driving,
201911/30/20191130_091403_000,driving,
201911/30/20191130_091420_000,driving,
201911/30/20191130_091436_000,driving,
201911/30/20191130_091453_000,driving,
201911/30/20191130_091511_000,driving,
201911/30/20191130_091528_000,driving,
201911/30/20191130_091544_000,driving,
201911/30/20191130_091601_000,driving,
201911/30/20191130_091618_000,driving,
201911/30/20191130_091648_000,driving,
201911/30/20191130_091706_000,driving,
201911/30/20191130_091722_000,driving,
201911/30/20191130_091739_000,driving,
201911/30/20191130_091756_000,driving,
201911/30/20191130_091813_000,driving,
201911/30/20191130_091830_000,driving,
201911/30/20191130_091847_000,driving,
201911/30/20191130_091904_000,driving,
201911/30/20191130_091921_000,driving,
201911/30/20191130_091938_000,driving,
201911/30/20191130_091955_000,driving,
201911/30/20191130_092012_000,driving,
201911/30/20191130_092029_000,driving,
201911/30/20191130_092046_000,driving,
201911/30/20191130_092103_000,driving,
201911/30/20191130_092120_000,driving,
201911/30/20191130_092137_000,driving,
201911/30/20191130_092154_000,driving,
201911/30/20191130_092211_000,driving,
201911/30/20191130_092228_000,driving,
201911/30/20191130_092245_000,driving,
201911/30/20191130_092302_000,driving,
201911/30/20191130_092319_000,driving,
201911/30/20191130_092336_000,driving,
201911/30/20191130_092353_000,driving,
201911/30/20191130_092410_000,driving,
201911/30/20191130_092427_000,driving,
201911/30/20191130_092444_000,driving,
201911/30/20191130_092501_000,driving,
201911/30/20191130_092518_000,driving,
201911/30/20191130_092535_000,driving,
201911/30/20191130_092552_000,driving,
201911/30/20191130_092609_000,driving,
201911/30/20191130_092626_000,driving,
201911/30/20191130_092643_000,driving,
201911/30/20191130_092700_000,driving,
201911/30/20191130_092717_000,driving,
201911/30/20191130_092734_000,driving,
201911/30/20191130_092751_000,driving,
201911/30/20191130_092808_000,driving,
201911/30/20191130_092825_000,driving,
201911/30/20191130_092842_000,driving,
201911/30/20191130_092859_000,walking outdoor,
201911/30/20191130_092916_000,walking indoor,
201911/30/20191130_093405_000,walking indoor,
201911/30/20191130_093439_000,walking indoor,
201911/30/20191130_093456_000,walking indoor,
201911/30/20191130_093513_000,NO ACTIVITY,
201911/30/20191130_093531_000,having a drink,
201911/30/20191130_093547_000,walking indoor,
201911/30/20191130_093606_000,walking indoor,
201911/30/20191130_093622_000,walking indoor,
201911/30/20191130_093652_000,walking outdoor,
201911/30/20191130_093709_000,walking outdoor,
201911/30/20191130_093743_000,NO ACTIVITY,
201911/30/20191130_093800_000,walking outdoor,
201911/30/20191130_093817_000,driving,
201911/30/20191130_093834_000,driving,
201911/30/20191130_093851_000,driving,
201911/30/20191130_093908_000,driving,
201911/30/20191130_093925_000,driving,
201911/30/20191130_093942_000,driving,
201911/30/20191130_093959_000,walking outdoor,
201911/30/20191130_094016_000,walking outdoor,
201911/30/20191130_094033_000,walking outdoor,
201911/30/20191130_094050_000,NO ACTIVITY,
201911/30/20191130_094107_000,NO ACTIVITY,
201911/30/20191130_094124_000,walking indoor,
201911/30/20191130_094141_000,using computer,
201911/30/20191130_094158_000,using computer,
201911/30/20191130_094215_000,using computer,
201911/30/20191130_094232_000,using computer,
201911/30/20191130_094249_000,using computer,
201911/30/20191130_094306_000,using computer,
201911/30/20191130_094323_000,using computer,
201911/30/20191130_094340_000,using computer,
201911/30/20191130_094357_000,using computer,
201911/30/20191130_094414_000,using computer,
201911/30/20191130_094431_000,using computer,
201911/30/20191130_094448_000,using computer,
201911/30/20191130_094505_000,using computer,
201911/30/20191130_094522_000,walking indoor,
201911/30/20191130_094539_000,walking indoor,
201911/30/20191130_094556_000,walking indoor,
201911/30/20191130_094613_000,walking indoor,
201911/30/20191130_094630_000,walking indoor,
201911/30/20191130_094647_000,walking indoor,
201911/30/20191130_094704_000,walking indoor,
201911/30/20191130_094721_000,walking indoor,
201911/30/20191130_094738_000,driving,
201911/30/20191130_094755_000,driving,
201911/30/20191130_094812_000,driving,
201911/30/20191130_094829_000,driving,
201911/30/20191130_094846_000,driving,
201911/30/20191130_094903_000,driving,
201911/30/20191130_094920_000,driving,
201911/30/20191130_094937_000,driving,
201911/30/20191130_094954_000,driving,
201911/30/20191130_095011_000,driving,
201911/30/20191130_095028_000,driving,
201911/30/20191130_095045_000,driving,
201911/30/20191130_095102_000,driving,
201911/30/20191130_095119_000,driving,
201911/30/20191130_095136_000,driving,
201911/30/20191130_095153_000,driving,
201911/30/20191130_095210_000,driving,
201911/30/20191130_095227_000,driving,
201911/30/20191130_095244_000,driving,
201911/30/20191130_095301_000,walking outdoor,
201911/30/20191130_095318_000,walking outdoor,
201911/30/20191130_095335_000,walking outdoor,
201911/30/20191130_095352_000,walking outdoor,
201911/30/20191130_095409_000,shopping,walking indoor
201911/30/20191130_095426_000,shopping,walking indoor
201911/30/20191130_095443_000,shopping,walking indoor
201911/30/20191130_095500_000,shopping,walking indoor
201911/30/20191130_095517_000,shopping,
201911/30/20191130_095534_000,shopping,walking indoor
201911/30/20191130_095551_000,shopping,walking indoor
201911/30/20191130_095608_000,shopping,
201911/30/20191130_095625_000,shopping,
201911/30/20191130_095655_000,shopping,
201911/30/20191130_095712_000,shopping,
201911/30/20191130_095729_000,shopping,walking indoor
201911/30/20191130_095746_000,shopping,
201911/30/20191130_095803_000,shopping,
201911/30/20191130_095820_000,shopping,
201911/30/20191130_095837_000,shopping,
201911/30/20191130_095854_000,shopping,
201911/30/20191130_095911_000,shopping,
201911/30/20191130_095928_000,shopping,walking indoor
201911/30/20191130_095945_000,shopping,
201911/30/20191130_100002_000,shopping,
201911/30/20191130_100019_000,shopping,
201911/30/20191130_100036_000,shopping,
201911/30/20191130_100053_000,shopping,walking indoor
201911/30/20191130_100110_000,shopping,walking indoor
201911/30/20191130_100127_000,shopping,
201911/30/20191130_100144_000,shopping,
201911/30/20191130_100201_000,shopping,
201911/30/20191130_100218_000,shopping,walking indoor
201911/30/20191130_100235_000,shopping,walking indoor
201911/30/20191130_100252_000,shopping,walking indoor
201911/30/20191130_100309_000,shopping,
201911/30/20191130_100326_000,shopping,
201911/30/20191130_100343_000,shopping,walking indoor
201911/30/20191130_100400_000,shopping,walking indoor
201911/30/20191130_100417_000,shopping,walking indoor
201911/30/20191130_100434_000,shopping,walking indoor
201911/30/20191130_100451_000,shopping,
201911/30/20191130_100508_000,shopping,
201911/30/20191130_100525_000,NO ACTIVITY,
201911/30/20191130_100542_000,shopping,
201911/30/20191130_100559_000,shopping,
201911/30/20191130_100616_000,shopping,walking indoor
201911/30/20191130_100633_000,shopping,
201911/30/20191130_100650_000,shopping,
201911/30/20191130_100707_000,shopping,
201911/30/20191130_100724_000,shopping,
201911/30/20191130_100741_000,shopping,
201911/30/20191130_100758_000,shopping,
201911/30/20191130_100815_000,shopping,
201911/30/20191130_100832_000,shopping,walking indoor
201911/30/20191130_100849_000,shopping,walking indoor
201911/30/20191130_100906_000,shopping,
201911/30/20191130_100923_000,shopping,
201911/30/20191130_100940_000,shopping,
201911/30/20191130_100957_000,shopping,
201911/30/20191130_101014_000,shopping,walking indoor
201911/30/20191130_101031_000,shopping,
201911/30/20191130_101048_000,shopping,walking indoor
201911/30/20191130_101105_000,shopping,walking indoor
201911/30/20191130_101122_000,shopping,
201911/30/20191130_101139_000,shopping,walking indoor
201911/30/20191130_101156_000,shopping,walking indoor
201911/30/20191130_101213_000,shopping,walking indoor
201911/30/20191130_101230_000,shopping,walking indoor
201911/30/20191130_101247_000,shopping,
201911/30/20191130_101304_000,shopping,
201911/30/20191130_101321_000,shopping,
201911/30/20191130_101338_000,shopping,walking indoor
201911/30/20191130_101355_000,shopping,walking indoor
201911/30/20191130_101412_000,shopping,
201911/30/20191130_101429_000,shopping,walking indoor
201911/30/20191130_101446_000,shopping,
201911/30/20191130_101503_000,shopping,
201911/30/20191130_101520_000,NO ACTIVITY,
201911/30/20191130_101537_000,shopping,
201911/30/20191130_101554_000,shopping,
201911/30/20191130_101611_000,shopping,
201911/30/20191130_101628_000,shopping,
201911/30/20191130_101658_000,shopping,
201911/30/20191130_101715_000,shopping,
201911/30/20191130_101732_000,shopping,
201911/30/20191130_101749_000,shopping,
201911/30/20191130_101806_000,shopping,
201911/30/20191130_101823_000,shopping,walking indoor
201911/30/20191130_101840_000,shopping,
201911/30/20191130_101857_000,shopping,
201911/30/20191130_101914_000,shopping,
201911/30/20191130_101931_000,shopping,
201911/30/20191130_101948_000,shopping,
201911/30/20191130_102005_000,walking indoor,
201911/30/20191130_102022_000,shopping,
201911/30/20191130_102039_000,shopping,
201911/30/20191130_102056_000,shopping,
201911/30/20191130_102113_000,shopping,
201911/30/20191130_102130_000,shopping,walking indoor
201911/30/20191130_102147_000,shopping,walking indoor
201911/30/20191130_102204_000,shopping,walking indoor
201911/30/20191130_102221_000,shopping,walking indoor
201911/30/20191130_102238_000,shopping,walking indoor
201911/30/20191130_102255_000,walking outdoor,
201911/30/20191130_102312_000,walking outdoor,
201911/30/20191130_102329_000,walking outdoor,
201911/30/20191130_102346_000,walking outdoor,
201911/30/20191130_102403_000,walking outdoor,
201911/30/20191130_102420_000,walking outdoor,
201911/30/20191130_102437_000,walking outdoor,
201911/30/20191130_102454_000,walking outdoor,
201911/30/20191130_102511_000,walking outdoor,
201911/30/20191130_102528_000,driving,
201911/30/20191130_102545_000,walking outdoor,
201911/30/20191130_102602_000,driving,
201911/30/20191130_102619_000,driving,
201911/30/20191130_102636_000,driving,
201911/30/20191130_102653_000,driving,
201911/30/20191130_102710_000,driving,
201911/30/20191130_102727_000,driving,
201911/30/20191130_102744_000,driving,
201911/30/20191130_102801_000,driving,
201911/30/20191130_102818_000,driving,
201911/30/20191130_102835_000,driving,
201911/30/20191130_102852_000,driving,
201911/30/20191130_102909_000,driving,
201911/30/20191130_102926_000,driving,
201911/30/20191130_102943_000,driving,
201911/30/20191130_103000_000,driving,
201911/30/20191130_103017_000,driving,
201911/30/20191130_103034_000,walking outdoor,
201911/30/20191130_103051_000,walking indoor,
201911/30/20191130_103108_000,walking outdoor,
201911/30/20191130_103125_000,walking indoor,
201911/30/20191130_103142_000,walking indoor,
201911/30/20191130_103159_000,walking indoor,
201911/30/20191130_103216_000,walking indoor,
201911/30/20191130_103233_000,walking indoor,
201911/30/20191130_103250_000,walking outdoor,
201911/30/20191130_103307_000,walking indoor,
201911/30/20191130_103324_000,walking outdoor,
201911/30/20191130_103341_000,walking outdoor,
201911/30/20191130_103358_000,walking outdoor,
201911/30/20191130_103415_000,having a drink,
201911/30/20191130_103432_000,walking indoor,
201911/30/20191130_103449_000,walking outdoor,
201911/30/20191130_103506_000,walking indoor,
201911/30/20191130_103523_000,walking indoor,
201911/30/20191130_103540_000,walking outdoor,
201911/30/20191130_103557_000,walking indoor,
201911/30/20191130_103614_000,preparing some food,
201911/30/20191130_103631_000,preparing some food,
201911/30/20191130_103701_000,preparing some food,
201911/30/20191130_103718_000,preparing some food,
201911/30/20191130_103735_000,walking indoor,
201911/30/20191130_103752_000,walking indoor,
201911/30/20191130_103809_000,walking indoor,
201911/30/20191130_103826_000,walking indoor,
201911/30/20191130_103843_000,walking indoor,
201911/30/20191130_103900_000,preparing some food,
201911/30/20191130_103917_000,walking indoor,
201911/30/20191130_103934_000,preparing some food,
201911/30/20191130_103951_000,preparing some food,
201911/30/20191130_104008_000,having a drink,
201911/30/20191130_104025_000,having a drink,
201911/30/20191130_104042_000,having a drink,
201911/30/20191130_104059_000,preparing some food,
201911/30/20191130_104116_000,having a drink,
201911/30/20191130_104133_000,having a drink,
201911/30/20191130_104150_000,having a drink,
201911/30/20191130_104207_000,preparing some food,
201911/30/20191130_104224_000,having a drink,
201911/30/20191130_104241_000,walking indoor,
201911/30/20191130_104258_000,having a drink,
201911/30/20191130_104315_000,having a drink,
201911/30/20191130_104332_000,having a drink,
201911/30/20191130_104349_000,having a drink,
201911/30/20191130_104406_000,having a drink,
201911/30/20191130_104423_000,having a drink,
201911/30/20191130_104440_000,having a drink,
201911/30/20191130_104457_000,walking indoor,
201911/30/20191130_104514_000,having a drink,
201911/30/20191130_104531_000,walking indoor,
201911/30/20191130_104548_000,having a drink,
201911/30/20191130_104605_000,having a drink,
201911/30/20191130_104622_000,having a drink,
201911/30/20191130_104639_000,walking indoor,
201911/30/20191130_104656_000,having a drink,
201911/30/20191130_104713_000,walking indoor,
201911/30/20191130_104731_000,walking outdoor,
201911/30/20191130_104748_000,walking outdoor,
201911/30/20191130_104805_000,walking outdoor,
201911/30/20191130_104822_000,walking outdoor,
201911/30/20191130_104839_000,walking outdoor,
201911/30/20191130_104856_000,walking outdoor,
201911/30/20191130_104913_000,walking outdoor,
201911/30/20191130_104930_000,walking outdoor,
201911/30/20191130_104947_000,walking outdoor,
201911/30/20191130_105004_000,walking indoor,
201911/30/20191130_105021_000,preparing some food,
201911/30/20191130_105038_000,preparing some food,
201911/30/20191130_105055_000,walking indoor,
201911/30/20191130_105112_000,having a drink,
201911/30/20191130_105129_000,having a drink,
201911/30/20191130_105146_000,having a drink,
201911/30/20191130_105203_000,having a drink,
201911/30/20191130_105220_000,walking outdoor,
201911/30/20191130_105237_000,walking indoor,
201911/30/20191130_105254_000,NO ACTIVITY,
201911/30/20191130_105311_000,walking indoor,
201911/30/20191130_105328_000,walking indoor,
201911/30/20191130_105345_000,NO ACTIVITY,
201911/30/20191130_105402_000,walking indoor,
